Scouter Initials,Match Number,Robot,Team Number,Starting Position,No Show,Moved?,Timer,Offense Skill,Defense Skill,Died/Tipped Over,Yellow/Red Card,End Position,Comments,Coral L1 Auto,Coral L1 Teleop,Coral L2 Auto,Coral L2 Teleop,Coral L3 Auto,Coral L3 Teleop,Coral L4 Auto,Coral L4 Teleop,Algae in Net Auto,Algae in Net Teleop,Algae in Processor Auto,Algae in Processor Teleop
CD,29,Red 1,1670,Deep,FALSE,FALSE,138.52,1,Excellent,FALSE,No Card,None,Good match,2,2,0,0,2,2,1,1,1,1,6,6
IJ,29,Red 2,5435,Deep,TRUE,FALSE,97.04,1,Not Observed,TRUE,Red Card,None,Issues with scoring,0,0,3,3,2,2,5,5,2,2,2,2
AB,29,Red 3,2955,Shallow,FALSE,FALSE,133.05,3,Not Observed,FALSE,Yellow Card,Shallow,Good match,2,2,5,5,0,0,1,1,4,4,2,2
GH,29,Blue 1,5750,Shallow,TRUE,TRUE,103.22,1,Excellent,TRUE,Red Card,Shallow,Issues with scoring,3,3,5,5,2,2,2,2,3,3,6,6
GH,29,Blue 2,5743,Park,FALSE,TRUE,63.49,3,Average,TRUE,Red Card,Shallow,Good match,5,5,5,5,3,3,1,1,8,8,4,4
IJ,29,Blue 3,1783,Shallow,TRUE,TRUE,8.44,3,Not Observed,FALSE,Yellow Card,None,Good match,4,4,0,0,1,1,3,3,5,5,5,5
EF,30,Red 1,1015,Shallow,TRUE,FALSE,6.44,3,Good,TRUE,Yellow Card,Park,Good match,0,0,4,4,3,3,2,2,0,0,2,2
GH,30,Red 2,5750,Shallow,FALSE,TRUE,92.88,1,Poor,FALSE,Red Card,None,,4,4,0,0,2,2,2,2,2,2,7,7
AB,30,Red 3,1670,Shallow,FALSE,FALSE,59.52,2,Average,FALSE,No Card,Deep,Robot stalled,3,3,2,2,1,1,5,5,6,6,1,1
EF,30,Blue 1,6354,Shallow,FALSE,TRUE,19.97,3,Not Observed,FALSE,Yellow Card,Shallow,Robot stalled,5,5,2,2,4,4,0,0,10,10,7,7
IJ,30,Blue 2,5743,Shallow,FALSE,FALSE,80.92,1,Not Observed,TRUE,No Card,Park,Good match,4,4,4,4,1,1,5,5,8,8,0,0
IJ,30,Blue 3,1783,Deep,FALSE,FALSE,52.89,4,Poor,FALSE,Red Card,Park,Issues with scoring,2,2,5,5,1,1,5,5,8,8,9,9
IJ,31,Red 1,8219,Shallow,TRUE,FALSE,54.44,1,Poor,FALSE,Red Card,Park,,0,0,2,2,2,2,1,1,4,4,9,9
IJ,31,Red 2,1670,Park,FALSE,TRUE,112.38,1,Poor,FALSE,No Card,Park,Good match,3,3,2,2,5,5,4,4,4,4,8,8
AB,31,Red 3,8708,Shallow,TRUE,FALSE,73,1,Not Observed,TRUE,Red Card,Shallow,Good match,4,4,5,5,4,4,0,0,2,2,5,5
CD,31,Blue 1,6354,Shallow,TRUE,FALSE,33.05,1,Poor,TRUE,No Card,None,,5,5,3,3,2,2,2,2,9,9,8,8
IJ,31,Blue 2,1015,Shallow,FALSE,FALSE,19.07,4,Poor,FALSE,Red Card,Deep,,3,3,1,1,2,2,4,4,2,2,8,8
GH,31,Blue 3,5750,Deep,TRUE,TRUE,11.23,5,Good,TRUE,Yellow Card,Park,Good match,2,2,3,3,5,5,5,5,9,9,0,0
EF,32,Red 1,5743,Deep,FALSE,FALSE,70.65,1,Not Observed,TRUE,Yellow Card,None,Robot stalled,5,5,2,2,3,3,5,5,9,9,7,7
CD,32,Red 2,1783,Deep,FALSE,FALSE,4.11,4,Good,FALSE,Yellow Card,Park,Robot stalled,4,4,5,5,4,4,3,3,9,9,10,10
CD,32,Red 3,1015,Park,TRUE,FALSE,33.43,1,Poor,TRUE,Yellow Card,Park,Robot stalled,3,3,0,0,5,5,3,3,0,0,4,4
AB,32,Blue 1,1670,Park,FALSE,TRUE,128.65,5,Excellent,TRUE,No Card,Shallow,Issues with scoring,0,0,3,3,0,0,2,2,0,0,0,0
CD,32,Blue 2,5750,Shallow,TRUE,FALSE,63.84,3,Good,TRUE,Red Card,Park,Good match,5,5,0,0,1,1,0,0,5,5,2,2
CD,32,Blue 3,5435,Park,FALSE,FALSE,21.54,4,Good,TRUE,Yellow Card,None,Issues with scoring,1,1,2,2,1,1,1,1,9,9,8,8
EF,33,Red 1,5750,Deep,FALSE,TRUE,40.57,3,Poor,FALSE,Red Card,None,Issues with scoring,3,3,5,5,1,1,0,0,10,10,8,8
IJ,33,Red 2,8708,Deep,TRUE,TRUE,97.31,4,Poor,TRUE,Yellow Card,Shallow,Issues with scoring,0,0,0,0,1,1,4,4,6,6,0,0
CD,33,Red 3,1015,Shallow,TRUE,TRUE,84.65,5,Poor,TRUE,Red Card,None,,0,0,5,5,2,2,3,3,2,2,1,1
GH,33,Blue 1,5743,Shallow,FALSE,FALSE,116.24,1,Average,FALSE,Red Card,Deep,,1,1,5,5,0,0,4,4,9,9,1,1
EF,33,Blue 2,2955,Deep,FALSE,FALSE,53.73,3,Excellent,FALSE,No Card,Shallow,Robot stalled,3,3,0,0,2,2,2,2,1,1,0,0
EF,33,Blue 3,7283,Park,TRUE,TRUE,15.18,3,Excellent,FALSE,Red Card,Park,Robot stalled,2,2,2,2,4,4,4,4,5,5,0,0
CD,34,Red 1,9895,Deep,TRUE,FALSE,21.32,4,Not Observed,FALSE,No Card,Park,Issues with scoring,0,0,5,5,0,0,5,5,7,7,1,1
IJ,34,Red 2,2955,Deep,TRUE,TRUE,4.93,5,Poor,FALSE,Red Card,Shallow,Issues with scoring,5,5,4,4,4,4,4,4,3,3,9,9
IJ,34,Red 3,5750,Shallow,TRUE,TRUE,121.67,1,Excellent,FALSE,Yellow Card,Shallow,Good match,3,3,4,4,5,5,3,3,5,5,5,5
AB,34,Blue 1,5435,Park,FALSE,TRUE,14.71,4,Poor,TRUE,No Card,Deep,Issues with scoring,4,4,1,1,1,1,4,4,7,7,7,7
CD,34,Blue 2,1670,Shallow,FALSE,TRUE,61.63,5,Good,TRUE,Yellow Card,Park,Good match,4,4,5,5,5,5,1,1,1,1,5,5
EF,34,Blue 3,6354,Park,TRUE,TRUE,101.37,2,Poor,FALSE,Yellow Card,Deep,,5,5,4,4,0,0,1,1,9,9,10,10
EF,35,Red 1,1783,Park,FALSE,FALSE,104.14,4,Average,TRUE,Yellow Card,None,Robot stalled,2,2,5,5,2,2,5,5,10,10,5,5
EF,35,Red 2,8708,Shallow,TRUE,TRUE,20.64,5,Excellent,FALSE,Yellow Card,None,Issues with scoring,2,2,0,0,3,3,5,5,2,2,5,5
AB,35,Red 3,5743,Deep,TRUE,TRUE,107.81,3,Not Observed,TRUE,Yellow Card,Park,Good match,5,5,5,5,1,1,2,2,1,1,3,3
CD,35,Blue 1,1015,Shallow,TRUE,TRUE,98.19,1,Good,FALSE,Red Card,Shallow,,2,2,1,1,3,3,2,2,2,2,1,1
IJ,35,Blue 2,7283,Deep,TRUE,TRUE,149.62,1,Poor,FALSE,No Card,None,Issues with scoring,3,3,4,4,3,3,1,1,10,10,7,7
AB,35,Blue 3,6354,Shallow,FALSE,TRUE,121.61,3,Excellent,FALSE,Red Card,Deep,Issues with scoring,5,5,2,2,1,1,2,2,4,4,0,0
CD,36,Red 1,7283,Shallow,FALSE,FALSE,68.55,5,Good,FALSE,No Card,None,Good match,2,2,5,5,3,3,2,2,6,6,2,2
CD,36,Red 2,5750,Park,TRUE,FALSE,72.19,5,Excellent,FALSE,No Card,Park,Issues with scoring,4,4,3,3,2,2,5,5,5,5,7,7
GH,36,Red 3,8219,Park,TRUE,TRUE,112.42,5,Good,FALSE,Red Card,Shallow,Good match,1,1,2,2,1,1,1,1,2,2,10,10
AB,36,Blue 1,1015,Shallow,TRUE,FALSE,136.37,2,Poor,TRUE,Yellow Card,Deep,Issues with scoring,3,3,1,1,3,3,1,1,7,7,7,7
CD,36,Blue 2,6354,Park,TRUE,FALSE,90.51,3,Poor,FALSE,Red Card,Park,Good match,4,4,5,5,1,1,4,4,9,9,0,0
GH,36,Blue 3,2955,Shallow,FALSE,TRUE,112.13,4,Good,TRUE,Yellow Card,Deep,,1,1,2,2,5,5,0,0,9,9,5,5
